Probe,chromosome,chrStart,Gene,normOrder,ID,genomeOrderNew,Search_Key,Transcript,Source_Reference_ID,RefSeq_ID,gcProbeStart,Entrez_Gene_ID
ILMN_1244514,3,68424919,SCHIP1,20864,3924,3924,ILMN_216237,ILMN_216237,NM_013928.4,NM_013928.4,447549909,30953
ILMN_1244521,7,148483393,DEAF1,8811,11342,11342,ILMN_210460,ILMN_210460,NM_016874.1,NM_016874.1,1145072582,54006
ILMN_1244526,19,41025453,BLNK,5937,23902,23902,ILMN_220791,ILMN_220791,scl000448.1_1,NM_008528.3,2454703611,
ILMN_1244581,4,83510231,4930473A06RIK,3124,5388,5388,ILMN_213128,ILMN_244308,NM_001081012.1,NM_001081012.1,622240004,320226
ILMN_1244582,19,12183383,OLFR1428,17005,23612,23612,ILMN_212223,ILMN_212223,NM_146678.1,NM_146678.1,2425861541,258673
ILMN_1244584,13,93258067,ZFYVE16,25619,18557,18557,ILMN_193223,ILMN_193223,NM_173392.3,NM_173392.3,1872408301,218441
ILMN_1244605,1,138068778,KIF21B,13417,934,934,ILMN_216206,ILMN_216206,scl17427.31.1_41,NM_019962.2,138068778,
ILMN_1244618,12,110698466,DLK1,9024,17715,17715,ILMN_187749,ILMN_257636,NM_010052.4,NM_010052.4,1768454170,13386
ILMN_1244619,2,32651566,STXBP1,22623,1864,1864,ILMN_214135,ILMN_214135,NM_009295.1,NM_009295.1,229916998,20910
ILMN_1244624,4,106760324,2810410C14RIK,1624,5546,5546,ILMN_189987,ILMN_189987,scl25167.9_473,,645490097,
ILMN_1244631,11,21221437,UGP2,24385,15164,15164,ILMN_193899,ILMN_193899,NM_139297.4,NM_139297.4,1556963285,216558
ILMN_1244634,17,46884392,CNPY3,473,22286,22286,ILMN_220661,ILMN_220661,NM_028065.2,NM_028065.2,2274347868,72029
ILMN_1244642,10,87682035,CCDC53,6661,14581,14581,ILMN_219063,ILMN_219063,NM_026070.2,NM_026070.2,1493260628,67282
ILMN_1244645,20,110928760,DACH2,8643,24783,24783,ILMN_211989,ILMN_211989,NM_033605.2,NM_033605.2,2585994348,93837
ILMN_1244647,2,80135409,PRDX6-RS1,19227,2197,2197,ILMN_211398,ILMN_211398,NM_177256.3,NM_177256.3,277400841,320769
ILMN_1244649,7,134562878,ZFP688,1616,11128,11128,ILMN_223773,ILMN_223773,NM_026999.2,NM_026999.2,1131152067,69234
ILMN_1244651,12,92797500,GTF2A1,11854,17570,17570,ILMN_211195,ILMN_211195,NM_175335.2,NM_175335.2,1750553204,83602
ILMN_1244658,5,12586816,LOC100044160,21029,6506,6506,ILMN_185023,ILMN_324685,XM_001471749.1,XM_001471749.1,706974709,100044160
ILMN_1244673,9,54860518,CHRNA3,7251,13188,13188,ILMN_186521,ILMN_256837,NM_145129.2,NM_145129.2,1336322939,110834
ILMN_1244675,5,37682791,CRMP1,7881,6784,6784,ILMN_220365,ILMN_220365,NM_007765.3,NM_007765.3,732070684,12933
ILMN_1244685,2,104846150,GA17,10885,2608,2608,ILMN_187273,ILMN_187273,scl18911.7_20,,302111582,
ILMN_1244695,5,125492697,FAM101A,1760,7553,7553,ILMN_218310,ILMN_218310,NM_028443.2,NM_028443.2,819880590,73121
ILMN_1244707,11,48926774,OLFR1396,16978,15352,15352,ILMN_214071,ILMN_214071,NM_146337.1,NM_146337.1,1584668622,258334
ILMN_1244723,8,44655534,ADAM26A,3699,11766,11766,ILMN_209179,ILMN_209179,NM_010085.2,NM_010085.2,1193786276,13525
ILMN_1244724,14,64111209,TDH,23107,19347,19347,ILMN_218423,ILMN_218423,NM_021480.4,NM_021480.4,1964205697,58865
ILMN_1244726,12,113736908,LOC100047653,3174,17770,17770,ILMN_213444,ILMN_327838,XM_001479089.1,XM_001479089.1,1771492612,100047653
ILMN_1244753,9,37456853,TBRG1,22971,12924,12924,ILMN_216147,ILMN_216147,NM_025289.2,NM_025289.2,1318919274,21376
ILMN_1244756,14,56276756,1810034K20RIK,817,19231,19231,ILMN_210040,ILMN_210040,NM_023397.3,NM_023397.3,1956371244,67881
ILMN_1244768,9,103092242,SRPRB,22396,13560,13560,ILMN_219256,ILMN_219256,NM_009275.4,NM_009275.4,1384554663,20818
ILMN_1244776,10,74980817,SNRPD3,22051,14271,14271,ILMN_221204,ILMN_221204,NM_026095.4,NM_026095.4,1480559410,67332
ILMN_1244779,1,194100987,KCNH1,13268,1427,1427,ILMN_216188,ILMN_216188,NM_010600.2,NM_010600.2,194100987,16510
ILMN_1244797,14,48007649,DLGAP5,9011,19046,19046,ILMN_214861,ILMN_214861,NM_144553.1,NM_144553.1,1948102137,218977
ILMN_1244799,6,72268863,USP39,24538,8468,8468,ILMN_187744,ILMN_187744,NM_138592.3,NM_138592.3,919291015,28035
ILMN_1244801,6,54650242,2410066E13RIK,1274,8348,8348,ILMN_192074,ILMN_240566,NM_026629.3,NM_026629.3,901672394,68235
ILMN_1244811,4,147989855,TARDBP,22884,6282,6282,ILMN_211677,ILMN_211677,scl0230908.3_49,NM_145556.2,686719628,
ILMN_1244812,9,123545620,XTRP3S1,25122,13844,13844,ILMN_189474,ILMN_189474,NM_139142.1,NM_139142.1,1405008041,102680
ILMN_1244819,3,54940972,SPG20,22250,3843,3843,ILMN_184214,ILMN_184214,scl23190.10_91,,434065962,
ILMN_1244821,4,132557504,FGR,10535,6017,6017,ILMN_188945,ILMN_236366,NM_010208.3,NM_010208.3,671287277,14191
ILMN_1244829,11,100208683,HAP1,12037,16510,16510,ILMN_213307,ILMN_216862,NM_010404.2,NM_010404.2,1635950531,15114
ILMN_1244835,2,31071746,GPR107,4012,1793,1793,ILMN_221637,ILMN_221637,NM_178760.3,NM_178760.3,228337178,277463
ILMN_1244836,16,21934746,TMEM41A,2565,20906,20906,ILMN_216276,ILMN_246657,NM_025693.3,NM_025693.3,2150929072,66664
ILMN_1244842,7,134000741,INO80E,4031,11107,11107,ILMN_184153,ILMN_247820,NM_153580.1,NM_153580.1,1130589930,233875
ILMN_1244845,11,121117071,NARF,1832,17022,17022,ILMN_215279,ILMN_215279,NM_026272.2,NM_026272.2,1656858919,67608
ILMN_1244848,1,122054797,STEAP3,100,779,779,ILMN_195141,ILMN_250751,NM_133186.1,NM_133186.1,122054797,68428
ILMN_1244851,10,122590130,USP15,24508,14791,14791,ILMN_186533,ILMN_243647,NM_027604.3,NM_027604.3,1528168723,14479
ILMN_1244857,7,25755136,RABAC1,19824,9671,9671,ILMN_218624,ILMN_218624,NM_010261.2,NM_010261.2,1022344325,14470
ILMN_1244864,13,48583150,ZFP169,606,18230,18230,ILMN_222842,ILMN_222842,NM_026450.2,NM_026450.2,1827733384,67911
ILMN_1244866,3,142184690,GBP5,11050,4760,4760,ILMN_188801,ILMN_233457,NM_153564.2,NM_153564.2,521309680,229898
ILMN_1244868,2,25281619,FUT7,10810,1632,1632,ILMN_219893,ILMN_219893,NM_013524.2,NM_013524.2,222547051,14347
ILMN_1244872,20,138755196,ACSL4,3614,24912,24912,ILMN_208940,ILMN_258494,NM_019477.3,NM_019477.3,2613820784,50790
ILMN_1244874,11,117674400,SYNGR2,22750,16896,16896,ILMN_212433,ILMN_212433,NM_009304.1,NM_009304.1,1653416248,20973
ILMN_1244879,8,24260695,LOC100046690,4287,11625,11625,ILMN_208704,ILMN_312512,XM_001476775.1,XM_001476775.1,1173391437,100046690
ILMN_1244891,2,150404358,CST7,8004,3104,3104,ILMN_218575,ILMN_218575,NM_009977.2,NM_009977.2,347669790,13011
ILMN_1244894,,,EEF1A1,9608,25575,25575,ILMN_220931,ILMN_220931,scl013627.1_210,XM_203909.2,0,
ILMN_1244906,11,4942509,AP1B1,4401,15055,15055,ILMN_224302,ILMN_224302,scl011764.20_169,,1540684357,
ILMN_1244908,2,102923114,APIP,4481,2578,2578,ILMN_208725,ILMN_208725,NM_019735.3,NM_019735.3,300188546,56369
ILMN_1244923,7,71889330,APBA2,4448,10266,10266,ILMN_217585,ILMN_217585,NM_007461.1,NM_007461.1,1068478519,11784
ILMN_1244925,1,44845448,GULP1,11919,240,240,ILMN_216065,ILMN_216065,NM_027506.2,NM_027506.2,44845448,70676
ILMN_1244926,8,73909482,USHBP1,24493,11951,11951,ILMN_185195,ILMN_224592,NM_181418.2,NM_181418.2,1223040224,234395
ILMN_1244929,2,31147956,FREQ,10741,1795,1795,ILMN_193620,ILMN_241734,NM_019681.3,NM_019681.3,228413388,14299
ILMN_1244936,16,8634147,TMEM186,1835,20699,20699,ILMN_195395,ILMN_261048,NM_025708.3,NM_025708.3,2137628473,66690
ILMN_1244943,18,61077143,BC020108,5470,23055,23055,ILMN_196665,ILMN_196665,XM_128891.4,XM_128891.4,2383918270,
ILMN_1244956,7,130123025,RBBP6,6136,11047,11047,ILMN_209748,ILMN_209748,NM_175023.2,NM_175023.2,1126712214,19647
ILMN_1244957,12,25344060,KLF11,23307,17133,17133,ILMN_209638,ILMN_209638,NM_178357.2,NM_178357.2,1683099764,194655
ILMN_1244967,17,37473706,OLFR103,16662,22143,22143,ILMN_219546,ILMN_219546,NM_146833.1,NM_146833.1,2264937182,258830
ILMN_1244976,13,53563577,LOC100046255,15503,18277,18277,ILMN_216233,ILMN_310433,XM_001475886.1,XM_001475886.1,1832713811,100046255
ILMN_1244977,17,34292789,H2-DMB1,11973,21946,21946,ILMN_210846,ILMN_210846,NM_010387.2,NM_010387.2,2261756265,14999
ILMN_1244989,14,29291365,D14ERTD171E,8388,18882,18882,ILMN_217098,ILMN_217098,scl46522.28_243,NM_177814.3,1929385853,
ILMN_1244991,5,118459750,FBXO21,10365,7378,7378,ILMN_216557,ILMN_216557,NM_145564.3,NM_145564.3,812847643,231670
ILMN_1244992,11,30004441,SPNB2,22292,15225,15225,ILMN_209605,ILMN_209605,NM_175836.2,NM_175836.2,1565746289,20742
ILMN_1244993,11,119925917,AZI1,5129,16947,16947,ILMN_222935,ILMN_222935,NM_009734.1,NM_009734.1,1655667765,12009
ILMN_1244997,,,1110005A03RIK,132,25157,25507,ILMN_218111,ILMN_218111,scl074319.4_0,,0,
ILMN_1245003,2,29776601,ODF2,16599,1751,1751,ILMN_194011,ILMN_236870,NM_013615.2,NM_013615.2,227042033,18286
ILMN_1245007,12,16680621,LOC100045413,11742,17099,17099,ILMN_186180,ILMN_321755,XR_031727.1,XR_031727.1,1674436325,100045413
ILMN_1245012,13,19216897,AMPH,4253,17899,17899,ILMN_214162,ILMN_214162,NM_175007.1,NM_175007.1,1798367131,218038
ILMN_1245031,13,41107963,PAK1IP1,18033,18180,18180,ILMN_220794,ILMN_220794,NM_026550.2,NM_026550.2,1820258197,68083
ILMN_1245040,12,102110722,9030617O03RIK,2837,17604,17604,ILMN_193847,ILMN_254701,NM_145448.4,NM_145448.4,1759866426,217830
ILMN_1245063,7,55702722,MRGPRB1,15336,10209,10209,ILMN_213583,ILMN_213583,NM_205810.4,NM_205810.4,1052291911,233231
ILMN_1245069,9,110743605,BC107230,14087,13717,13717,ILMN_222678,ILMN_222678,NM_153172.1,NM_153172.1,1392206026,260408
ILMN_1245079,12,113879281,ADSSL1,3842,17774,17774,ILMN_210075,ILMN_210075,NM_007421.1,NM_007421.1,1771634985,11565
ILMN_1245093,2,127571637,NPHP1,16271,2894,2894,ILMN_218690,ILMN_218690,NM_016902.3,NM_016902.3,324837069,53885
ILMN_1245099,9,122839733,ZFP105,25290,13828,13828,ILMN_186592,ILMN_186592,NM_009544.2,NM_009544.2,1404302154,22646
ILMN_1245103,11,101238943,G6PC,10875,16571,16571,ILMN_219085,ILMN_219085,NM_008061.3,NM_008061.3,1636980791,14377
ILMN_1245112,7,52397396,ALDH16A1,1222,10109,10109,ILMN_211621,ILMN_211621,NM_145954.1,NM_145954.1,1048986585,69748
ILMN_1245115,2,127266190,FAHD2A,5213,2882,2882,ILMN_210830,ILMN_220499,NM_029629.1,NM_029629.1,324531622,68126
ILMN_1245118,7,70903813,LOC100044257,4060,10259,10259,ILMN_211002,ILMN_315139,XM_001471785.1,XM_001471785.1,1067493002,100044257
ILMN_1245129,7,148153366,IFITM1,12687,11319,11319,ILMN_196778,ILMN_196778,NM_026820.2,NM_026820.2,1144742555,68713
ILMN_1245131,10,127184146,ZBTB39,2777,14844,14844,ILMN_219859,ILMN_219859,NM_198035.1,NM_198035.1,1532762739,320080
ILMN_1245139,3,88986400,SCAMP3,20833,4091,4091,ILMN_218241,ILMN_218241,scl22983.9.9_77,NM_011886.1,468111390,
ILMN_1245193,12,99728160,KCNK10,598,17584,17584,ILMN_212477,ILMN_212477,NM_029911.4,NM_029911.4,1757483864,72258
ILMN_1245200,1,22154,IFI205,12674,2,2,ILMN_186725,ILMN_230234,NM_172648.3,NM_172648.3,22154,226695
ILMN_1245217,19,40166865,CYP2C50,8225,23889,23889,ILMN_213806,ILMN_213806,NM_134144.1,NM_134144.1,2453845023,107141
ILMN_1245221,2,73404073,CHRNA1,7246,2136,2136,ILMN_209616,ILMN_209616,NM_007389.4,NM_007389.4,270669505,11435
ILMN_1245234,5,135390250,CLDN13,7364,7626,7626,ILMN_216620,ILMN_216620,NM_020504.3,NM_020504.3,829778143,57255
ILMN_1245243,1,190035032,ESRRG,10129,1401,1401,ILMN_192259,ILMN_231171,NM_011935.2,NM_011935.2,190035032,26381
ILMN_1245248,11,119010265,TBC1D16,22942,16932,16932,ILMN_211152,ILMN_211152,NM_172443.2,NM_172443.2,1654752113,207592
ILMN_1245250,2,180393017,DIDO1,2766,3577,3577,ILMN_221131,ILMN_221131,NM_175551.3,NM_175551.3,377658449,23856
ILMN_1245258,10,102881842,SLC6A15,21804,14669,14669,ILMN_209478,ILMN_209478,NM_175328.2,NM_175328.2,1508460435,103098
ILMN_1245272,5,28401117,INSIG1,12985,6609,6609,ILMN_210547,ILMN_210547,NM_153526.4,NM_153526.4,722789010,231070
ILMN_1245284,5,147922785,POLR1D,20587,7925,7925,ILMN_222721,ILMN_222721,NM_181730.3,NM_181730.3,842310678,20018
ILMN_1245289,18,66624125,PMAIP1,18860,23114,23114,ILMN_209627,ILMN_209627,NM_021451.2,NM_021451.2,2389465252,58801
ILMN_1245292,19,4803952,RBM14,20033,23330,23330,ILMN_211096,ILMN_211096,NM_019869.2,NM_019869.2,2418482110,56275
ILMN_1245307,6,91221964,FBLN2,10323,8693,8693,ILMN_212414,ILMN_253341,NM_001081437.1,NM_001081437.1,938244116,14115
ILMN_1245312,5,128264083,TMEM132D,6304,7563,7563,ILMN_221599,ILMN_221599,NM_172885.2,NM_172885.2,822651976,243274
ILMN_1245322,16,3894400,NAT15,342,20652,20652,ILMN_219220,ILMN_219220,NM_029090.3,NM_029090.3,2132888726,74763
ILMN_1245326,15,92172025,CNTN1,7557,20383,20383,ILMN_188525,ILMN_188525,scl47598.31_288,,2117566377,
ILMN_1245328,10,33811312,BB146404,5322,14033,14033,ILMN_184649,ILMN_249545,NM_178908.3,NM_178908.3,1439389905,103511
ILMN_1245330,8,122032651,MBTPS1,14837,12505,12505,ILMN_217441,ILMN_217441,NM_019709.3,NM_019709.3,1271163393,56453
ILMN_1245335,17,26582996,C230078M08RIK,6212,21753,21753,ILMN_213969,ILMN_213969,NM_176995.2,NM_176995.2,2254046472,319749
ILMN_1245338,5,135883925,HIP1,12212,7650,7650,ILMN_190949,ILMN_246205,NM_146001.1,NM_146001.1,830271818,215114
ILMN_1245352,,,DCLK3,5727,25510,25418,ILMN_214286,ILMN_214286,NM_172928.3,NM_172928.3,0,245038
ILMN_1245353,2,144650098,1700010M22RIK,511,3060,3060,ILMN_210652,ILMN_210652,NM_025490.2,NM_025490.2,341915530,66328
ILMN_1245354,20,163743230,TLR7,23403,25077,25077,ILMN_194274,ILMN_194274,NM_133211.3,NM_133211.3,2638808818,170743
ILMN_1245356,7,112705061,SMPD1,21974,10761,10761,ILMN_214391,ILMN_214391,NM_011421.1,NM_011421.1,1109294250,20597
ILMN_1245376,4,120209134,SLFNL1,2325,5796,5796,ILMN_219554,ILMN_219554,NM_177570.3,NM_177570.3,658938907,194219
ILMN_1245380,18,24635888,2700062C07RIK,1540,22756,22756,ILMN_186465,ILMN_241892,NM_026529.4,NM_026529.4,2347477015,68046
ILMN_1245382,11,69617252,TMEM102,14118,15775,15775,ILMN_190526,ILMN_256383,NM_001033433.3,NM_001033433.3,1605359100,380705
ILMN_1245383,2,144412115,LOC100048726,20991,3055,3055,ILMN_210037,ILMN_318412,XM_001481049.1,XM_001481049.1,341677547,100048726
ILMN_1245424,5,77344153,PPAT,19052,6965,6965,ILMN_193988,ILMN_232352,XM_001002886.2,XM_001002886.2,771732046,231327
ILMN_1245425,5,122903757,ATP2A2,4881,7468,7468,ILMN_217324,ILMN_217324,NM_009722.2,NM_009722.2,817291650,11938
ILMN_1245431,9,122976396,TGM4,23235,13833,13833,ILMN_217377,ILMN_217377,NM_177911.3,NM_177911.3,1404438817,331046
ILMN_1245439,7,12466328,V1RG6,24682,9414,9414,ILMN_188312,ILMN_188312,NM_134207.1,NM_134207.1,1009055517,171241
ILMN_1245447,20,70974608,ABCD1,3448,24540,24540,ILMN_209991,ILMN_209991,NM_007435.1,NM_007435.1,2546040196,11666
ILMN_1245448,14,47861409,WDHD1,24924,19043,19043,ILMN_192676,ILMN_192676,NM_172598.2,NM_172598.2,1947955897,218973
ILMN_1245453,20,7279290,GPKOW,11556,24173,24173,ILMN_214633,ILMN_214633,NM_173747.3,NM_173747.3,2482344878,209416
ILMN_1245461,10,127758011,USP52,24550,14884,14884,ILMN_187708,ILMN_187708,NM_133992.2,NM_133992.2,1533336604,103135
ILMN_1245462,7,115098799,OLFR474,17327,10827,10827,ILMN_209909,ILMN_209909,NM_146495.1,NM_146495.1,1111687988,258488
ILMN_1245467,13,74496894,CCDC127,41,18505,18505,ILMN_214991,ILMN_214991,NM_024201.2,NM_024201.2,1853647128,67433
ILMN_1245469,14,56335212,RABGGTA,19837,19236,19236,ILMN_216278,ILMN_216278,NM_019519.2,NM_019519.2,1956429700,56187
ILMN_1245471,3,127510255,BC002199,5340,4665,4665,ILMN_212855,ILMN_212855,NM_145964.2,NM_145964.2,506635245,211556
ILMN_1245472,5,90937792,AFP,3874,7047,7047,ILMN_216226,ILMN_216226,NM_007423.3,NM_007423.3,785325685,11576
ILMN_1245489,11,115660047,2310067B10RIK,1177,16838,16838,ILMN_190461,ILMN_242289,NM_028014.3,NM_028014.3,1651401895,71947
ILMN_1245492,17,34170977,RXRB,20736,21936,21936,ILMN_209152,ILMN_209152,NM_011306.3,NM_011306.3,2261634453,20182
ILMN_1245496,17,37038808,TRIM31,23907,22119,22119,ILMN_185016,ILMN_185016,NM_146077.2,NM_146077.2,2264502284,224762
ILMN_1245500,14,60847591,NUPL1,16520,19314,19314,ILMN_213235,ILMN_213235,NM_170591.1,NM_170591.1,1960942079,71844
ILMN_1245503,10,23641035,TAAR1,23849,13970,13970,ILMN_188002,ILMN_188002,NM_053205.1,NM_053205.1,1429219628,111174
ILMN_1245509,16,96541158,B3GALT5,5197,21421,21421,ILMN_221459,ILMN_221459,NM_033149.2,NM_033149.2,2225535484,93961
ILMN_1245514,19,40227953,CYP2C70,8228,23891,23891,ILMN_217138,ILMN_217138,NM_145499.1,NM_145499.1,2453906111,226105
ILMN_1245518,9,37351595,VSIG2,986,12922,12922,ILMN_223345,ILMN_223345,NM_020518.2,NM_020518.2,1318814016,57276
ILMN_1245519,16,91054665,4932438H23RIK,2293,21337,21337,ILMN_208705,ILMN_208705,NM_028905.2,NM_028905.2,2220048991,74387
ILMN_1245528,17,56418474,M6PRBP1,14557,22401,22401,ILMN_214383,ILMN_214383,NM_025836.3,NM_025836.3,2283881950,66905
ILMN_1245529,10,79785532,PCSK4,18249,14430,14430,ILMN_212743,ILMN_212743,NM_008793.1,NM_008793.1,1485364125,18551
ILMN_1245533,17,17110949,BC002059,5338,21538,21538,ILMN_211250,ILMN_211250,NM_145397.1,NM_145397.1,2244574425,213811
ILMN_1245536,13,97386985,COL4A3BP,7625,18598,18598,ILMN_185135,ILMN_261277,NM_023420.1,NM_023420.1,1876537219,68018
ILMN_1245540,14,57578714,ZMYM2,25329,19276,19276,ILMN_185418,ILMN_185418,NM_029498.2,NM_029498.2,1957673202,76007
ILMN_1245565,12,31275973,TMEM18,23498,17166,17166,ILMN_193795,ILMN_193795,NM_172049.1,NM_172049.1,1689031677,211986
ILMN_1245568,10,80004909,REXO1,23018,14446,14446,ILMN_191058,ILMN_241596,NM_025852.3,NM_025852.3,1485583502,66932
ILMN_1245571,19,6227557,GPHA2,11548,23432,23432,ILMN_211491,ILMN_211491,NM_130453.2,NM_130453.2,2419905715,170458
ILMN_1245579,19,29386390,JAK2,13155,23781,23781,ILMN_214833,ILMN_214833,NM_008413.2,NM_008413.2,2443064548,16452
ILMN_1245582,2,180757028,CHRNA4,7254,3589,3589,ILMN_215618,ILMN_215618,NM_015730.4,NM_015730.4,378022460,11438
ILMN_1245585,5,102088344,NKX6-1,16145,7138,7138,ILMN_221037,ILMN_221037,NM_144955.2,NM_144955.2,796476237,18096
ILMN_1245593,9,18127725,NAALAD2,15756,12714,12714,ILMN_216224,ILMN_216224,NM_028279.3,NM_028279.3,1299590146,72560
ILMN_1245609,10,60561802,SGPL1,21285,14180,14180,ILMN_221061,ILMN_221061,NM_009163.2,NM_009163.2,1466140395,20397
ILMN_1245615,4,88058917,PTPLAD2,2395,5408,5408,ILMN_192760,ILMN_225015,NM_025760.3,NM_025760.3,626788690,66775
ILMN_1245622,5,137450748,CLDN15,7368,7690,7690,ILMN_212257,ILMN_212257,NM_021719.3,NM_021719.3,831838641,60363
ILMN_1245627,1,75243765,PTPRN,19641,503,503,ILMN_212712,ILMN_212712,scl16598.23.1_93,NM_008985.1,75243765,
ILMN_1245642,15,102785568,HOXC11,14064,20619,20619,ILMN_197666,ILMN_261543,NM_001024842.1,NM_001024842.1,2128179920,109663
ILMN_1245650,5,130722099,SBDS,20816,7595,7595,ILMN_223113,ILMN_223113,NM_023248.1,NM_023248.1,825109992,66711
ILMN_1245653,6,47881552,ZFP212,25340,8257,8257,ILMN_185444,ILMN_185444,NM_145576.1,NM_145576.1,894903704,232784
ILMN_1245658,20,138673997,NXT2,16544,24907,24907,ILMN_218695,ILMN_218695,NM_172782.2,NM_172782.2,2613739585,237082
ILMN_1245673,8,75110907,TMEM38A,116,11996,11996,ILMN_212903,ILMN_212903,NM_144534.1,NM_144534.1,1224241649,74166
ILMN_1245678,5,31257356,ABHD1,3470,6653,6653,ILMN_216579,ILMN_317267,NR_003522.1,NR_003522.1,725645249,57742
ILMN_1245680,5,142927536,FOXK1,10687,7822,7822,ILMN_185855,ILMN_212224,NM_199068.2,NM_199068.2,837315429,17425
ILMN_1245687,3,88787461,ASH1L,4783,4079,4079,ILMN_196615,ILMN_196615,NM_138679.5,NM_138679.5,467912451,192195
ILMN_1245710,11,81850024,CCL2,6693,16119,16119,ILMN_211411,ILMN_211411,NM_011333.3,NM_011333.3,1617591872,20296
ILMN_1245714,10,79219527,FGF22,10506,14378,14378,ILMN_210359,ILMN_210359,NM_023304.1,NM_023304.1,1484798120,67112
ILMN_1245716,12,76513006,GPHB5,11549,17386,17386,ILMN_214004,ILMN_214004,NM_175644.3,NM_175644.3,1734268710,217674
ILMN_1245717,14,71003541,EPB4.9,10007,19452,19452,ILMN_196252,ILMN_260765,NM_013514.3,NM_013514.3,1971098029,13829
ILMN_1245721,2,152269937,6820408C15RIK,2773,3149,3149,ILMN_211939,ILMN_211939,NM_177656.3,NM_177656.3,349535369,228778
ILMN_1245725,7,97395583,CCDC83,6673,10459,10459,ILMN_210761,ILMN_210761,NM_029256.3,NM_029256.3,1093984772,75338
ILMN_1245726,2,153839441,PSP,19527,3202,3202,ILMN_216963,ILMN_216963,NM_008953.2,NM_008953.2,351104873,19194
ILMN_1245731,19,37514820,HHEX,12192,23860,23860,ILMN_210452,ILMN_210452,NM_008245.3,NM_008245.3,2451192978,15242
ILMN_1245737,7,150896661,OSBPL5,17868,11401,11401,ILMN_213341,ILMN_244150,NM_024289.2,NM_024289.2,1147485850,79196
ILMN_1245750,14,31408859,PRKCD,19276,18910,18910,ILMN_214910,ILMN_214910,NM_011103.2,NM_011103.2,1931503347,18753
ILMN_1245757,4,46516223,NANS,15795,5184,5184,ILMN_215041,ILMN_215041,NM_053179.3,NM_053179.3,585245996,94181
ILMN_1245758,9,65887458,CSNK1G1,7974,13328,13328,ILMN_185186,ILMN_231621,NM_173185.2,NM_173185.2,1347349879,214897
ILMN_1245761,5,135846060,NSUN5,16412,7644,7644,ILMN_210282,ILMN_210282,NM_145414.2,NM_145414.2,830233953,100609
ILMN_1245768,,,ICA1,12632,25144,25494,ILMN_217379,ILMN_217379,NM_010492.3,NM_010492.3,0,15893
ILMN_1245780,12,45699528,NRCAM,6168,17232,17232,ILMN_221614,ILMN_221614,NM_176930.3,NM_176930.3,1703455232,319504
ILMN_1245789,4,11128509,CCNE2,6735,4936,4936,ILMN_191206,ILMN_250173,NM_001037134.1,NM_001037134.1,549858282,12448
ILMN_1245795,3,107467433,AHCYL1,3919,4526,4526,ILMN_185612,ILMN_235441,NM_145542.3,NM_145542.3,486592423,229709
ILMN_1245813,5,115572857,UNC119B,3323,7340,7340,ILMN_208916,ILMN_208916,NM_175352.4,NM_175352.4,809960750,106840
ILMN_1245815,11,116399378,UBE2O,5145,16869,16869,ILMN_222038,ILMN_246409,NM_173755.3,NM_173755.3,1652141226,217342
ILMN_1245817,7,114218213,OLFR714,17554,10808,10808,ILMN_215102,ILMN_250490,NM_147033.1,NM_147033.1,1110807402,259035
ILMN_1245831,15,90982095,ABCD2,3449,20378,20378,ILMN_212165,ILMN_212165,NM_011994.2,NM_011994.2,2116376447,26874
ILMN_1245835,4,118362431,OLFR1342,16933,5743,5743,ILMN_215636,ILMN_215636,NM_146713.1,NM_146713.1,657092204,258708
ILMN_1245842,11,100292506,NT5C3L,6256,16519,16519,ILMN_215004,ILMN_215004,NM_026561.3,NM_026561.3,1636034354,68106
ILMN_1245843,1,140729299,LHX9,13863,950,950,ILMN_219792,ILMN_238051,NM_001025565.2,NM_001025565.2,140729299,16876
ILMN_1245844,9,111463993,STAC,22486,13729,13729,ILMN_220646,ILMN_220646,NM_016853.2,NM_016853.2,1392926414,20840
ILMN_1245850,11,71967710,4933427D14RIK,2388,15871,15871,ILMN_220964,ILMN_220964,NM_028963.2,NM_028963.2,1607709558,74477
ILMN_1245860,2,130102507,NOL5A,16215,2930,2930,ILMN_219305,ILMN_219305,NM_024193.2,NM_024193.2,327367939,67134
ILMN_1245864,7,148135141,IFITM5,12692,11317,11317,ILMN_220811,ILMN_225271,NM_053088.2,NM_053088.2,1144724330,73835
ILMN_1245872,11,102014099,TMEM101,1500,16604,16604,ILMN_220934,ILMN_220934,NM_029649.1,NM_029649.1,1637755947,76547
ILMN_1245874,5,121581262,PTPN11,19595,7425,7425,ILMN_217275,ILMN_217275,NM_011202.2,NM_011202.2,815969155,19247
ILMN_1245875,17,23842028,1520401A03RIK,445,21603,21603,ILMN_217750,ILMN_217750,NM_177132.3,NM_177132.3,2251305504,320309
ILMN_1245879,6,42350834,TAS2R143,14179,8211,8211,ILMN_200594,ILMN_241432,NM_001001452.1,NM_001001452.1,889372986,387514
ILMN_1245892,18,83171771,ZFP516,6258,23228,23228,ILMN_190678,ILMN_236866,NM_183033.1,NM_183033.1,2406012898,329003
ILMN_1245893,1,182623867,MIXL1,15129,1342,1342,ILMN_220808,ILMN_220808,NM_013729.2,NM_013729.2,182623867,27217
ILMN_1245910,2,129979573,TGM6,23239,2925,2925,ILMN_212815,ILMN_212815,NM_177726.3,NM_177726.3,327245005,241636
ILMN_1245913,10,62540034,PBLD,74,14221,14221,ILMN_196340,ILMN_196340,NM_026701.2,NM_026701.2,1468118627,68371
